id,triggerDesc,actionDesc,deviceCategory,original_content_after_dot
idkUamqR,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
imrd9P6i,WHEN every time you exit an area you specify,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
indX3geJ,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
insC9wuz,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo dimmer on",Generic/Other,"If the WeMo Dimmer is already on, it will remain on."
ipFhkaXc,WHEN a specified tag senses that its ambient temperature falls below an lower threshold configured at temperature options screen inside the WirelessTag app,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
iqGaTrCR,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
iuLASMsF,WHEN every time it is Christmas in the time zone you specify,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
j3ixwBVU,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
j5tBaF82,WHEN every time your alarm goes off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
j7ZebpUq,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
j7ygjZuV,WHEN every time you send an SMS on your Android device that matches a search you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
jE4ACRqz,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
jFMGHP5A,WHEN every time the temperature measured by your Spotter drops below the value you specify,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
jGaxdFkC,WHEN the room temperature satisfies a condition with a threshold,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
jHPbyVxC,WHEN every single day at a specific time set by you,", THEN turn on your daikin ac unit, or change its settings",Air/Climate,It will be executed within 1 minute.
jKup7FMW,WHEN every single day at a specific time set by you,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
jLA9TuEH,WHEN only on specific days of the week at the time you provide,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
jSHMstQC,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
jUDmAYQz,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
jWZ9Y4VB,WHEN every time your WeMo Maker relay is turned on in toggle mode,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
jWrctCY2,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
jXUTAavE,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
jaFzwp7s,WHEN the AQI of your device is updated,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
jczViTsH,WHEN every time the button is pressed on your SkyBell HD,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
jeF8Gyu7,WHEN every time you enter an area you specify,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
jfT5iEhN,WHEN every time your timer goes off,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
jfuN8Zsz,WHEN every time you exit an area you specify,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
jgWtZFAm,WHEN every time you miss a phone call on your Android device from a number you specify,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
jiEk3Tbd,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
jibAGmNK,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
jqyRPWdk,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
juN3tcSH,WHEN every time you press the button,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
juc9dXmE,WHEN every time your Android device connects to a WiFi network you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
jvCX4bJc,WHEN within 15 minutes of the sunset in your location,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
jvpDue5s,WHEN a Routine is activated,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
k3dMhKzQ,WHEN only on specific days of the week at the time you provide,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
k4U658fe,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
k4kV7L9m,WHEN every time your ecobee thermostat and Room Sensors change to Smart Home or Smart Away comfort profiles,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
k59iVJdA,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
k9d6iZHJ,WHEN every time your GE Dishwasher finishes a cycle,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
kChEdSBz,WHEN every time a specified camera detects motion,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
kKb4GjHu,WHEN every time your Android device's battery drops below 15%,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
kKmCYZGe,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
kLJSakXu,WHEN every time the Nest Protect you specify detects warning smoke levels,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
kQhb3z4e,WHEN every time the home you specify is set to Away,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
kaVZs2X8,WHEN every single day at a specific time set by you,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
keS4ztTk,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
kjbdKx5S,WHEN every time you enter an area you specify,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
